instruction,answer
Beri rekomendasi makanan kategori Jajanan.,"Halo! 🌟
Kalau kamu mau makan Jajanan, ada rekomendasi bagus nih! Coba deh ke **Cinepolis, Pondok Kelapa** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- POCOBANA 1 | Harga: 50000.0
- POCOBANA 2 | Harga: 55000.0
- POCOBANA 3 | Harga: 75000.0
- Salty Popcorn Large with Lemon Tea 22 OZ | Harga: 55000.0
- Salty Popcorn Large with Soft Drink 22 OZ | Harga: 55000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Jajanan/Kopi.,"Halo! 🌟
Kalau kamu mau makan Minuman/Jajanan/Kopi, ada rekomendasi bagus nih! Coba deh ke **Coffee First** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Hot Americano | Harga: 25000.0
- Iced Americano | Harga: 25000.0
- Hot Cappucino | Harga: 28000.0
- Hot Latte | Harga: 28000.0
- Flat White | Harga: 28000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Bakmie/Jajanan/Aneka nasi/Minuman.,"Halo! 🌟
Kalau kamu mau makan Bakmie/Jajanan/Aneka nasi/Minuman, ada rekomendasi bagus nih! Coba deh ke **Colours Cafe (CC), Domas** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Nasi Goreng Coklat Spesial | Harga: 19000.0
- Nasi Goreng White Spesial | Harga: 19000.0
- Mie Kuah Spesial | Harga: 19000.0
- Nasi Goreng White | Harga: 13000.0
- Nasi Goreng Red Spesial | Harga: 19000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Kopi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Kopi, ada rekomendasi bagus nih! Coba deh ke **Copa Coffee** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Nasi Goreng Special | Harga: 29000.0
- Nasi Goreng Sapi | Harga: 27000.0
- Nasi Goreng Seafood | Harga: 27000.0
- Nasi Goreng Ikan Asin | Harga: 25000.0
- Nasi Goreng Ikan Teri | Harga: 25000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti/Jajanan/Kopi.,"Halo! 🌟
Kalau kamu mau makan Roti/Jajanan/Kopi, ada rekomendasi bagus nih! Coba deh ke **Corica, Biliton** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Apple Strudel Whole, | Harga: 345000.0
- Blueberry Strudel Whole, | Harga: 345000.0
- Durian Strudel Whole | Harga: 442800.0
- Apple Strudel Small, | Harga: 195500.0
- Blueberry Strudel Small, | Harga: 195500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Sweets.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Sweets, ada rekomendasi bagus nih! Coba deh ke **Corndog Doona, Pinang** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Corndog Original Full Mozarella | Harga: 18000.0
- Corndog Original Sosis | Harga: 17000.0
- Corndog Original Mix Sosis Moza | Harga: 18000.0
- Corndog Original Moza Kentang | Harga: 20000.0
- Corndog Original Sosis Kentang | Harga: 19000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan.,"Halo! 🌟
Kalau kamu mau makan Jajanan, ada rekomendasi bagus nih! Coba deh ke **Corndog Mozarella** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Corndog Mozarella Mentahan | Harga: 14500.0
- Corndog Mozarella Saos Pedas Mayonaise | Harga: 15000.0
- Corndog Mosis (mozarella Sosis) | Harga: 16500.0
- Corndog Mozarella Saos Tomat Dan Mayo | Harga: 15000.0
- Corndog Sosis Saos Pedas Dan Mayonaise | Harga: 10000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Minuman/Ayam & bebek.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Minuman/Ayam & bebek, ada rekomendasi bagus nih! Coba deh ke **Corndog Mozarella Bites** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Mozarella Corndog Original | Harga: 23000.0
- Corndog Mie | Harga: 20500.0
- Hotang Mozarella | Harga: 23500.0
- Mozarella Chocolate | Harga: 25000.0
- Mozarella Tiramissu | Harga: 21000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Kopi/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Kopi/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **Cosmic Coffee, Tulangan** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Es Kopi Susu Gula Aren | Harga: 19000.0
- Coffee Beer. | Harga: 14000.0
- Es kopi susu caramel | Harga: 16000.0
- Es kopi susu hazelnut | Harga: 16000.0
- Es kopi susu | Harga: 13000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Cepat saji/Kopi/Minuman.,"Halo! 🌟
Kalau kamu mau makan Cepat saji/Kopi/Minuman, ada rekomendasi bagus nih! Coba deh ke **Cotta Coffee, Jatiwaringin** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Paket Berlimas | Harga: 80000.0
- Paket Ber4 Ajah | Harga: 85000.0
- Paket Ber3 Ajah | Harga: 58000.0
- Paket Lengkap Literan | Harga: 120000.0
- Hazellnut Latte | Harga: 25000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Barat/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Barat/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **Crackling** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Gochu Pork Bowl | Harga: 69000.0
- Rice Popcorn | Harga: 25000.0
- Bellycious | Harga: 50000.0
- Tonkatsu | Harga: 50000.0
- Salt n Pepper Crackling | Harga: 60000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti/Jajanan/Jepang.,"Halo! 🌟
Kalau kamu mau makan Roti/Jajanan/Jepang, ada rekomendasi bagus nih! Coba deh ke **Creme Croffle** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Apple Strudel | Harga: 28000.0
- Croffle Special Butter | Harga: 9000.0
- Dua Croffle Special Butter | Harga: 18000.0
- Tiga Croffle Special Butter | Harga: 27000.0
- Empat Croffle Special Butter | Harga: 36000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Ayam & bebek/Minuman/Jajanan/Barat.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek/Minuman/Jajanan/Barat, ada rekomendasi bagus nih! Coba deh ke **D'BestO, Wonokusumo** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Awal Tahun 1 | Harga: 19000.0
- Awal Tahun 2 | Harga: 20000.0
- Awal Tahun 3 | Harga: 23000.0
- Awal Tahun 4 | Harga: 30000.0
- Awal Tahun 5 | Harga: 33000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Sweets.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Sweets, ada rekomendasi bagus nih! Coba deh ke **D'Conrad, Mojopahit** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Ice Mochi Mooncake | Harga: 140000.0
- Mochi Kacang | Harga: 7000.0
- Mochi Pandan | Harga: 7000.0
- Mochi Kacang Merah | Harga: 7000.0
- Pie Ayam | Harga: 8500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Bakmie/Chinese.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Bakmie/Chinese, ada rekomendasi bagus nih! Coba deh ke **DEPOT XIWANG** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Sapi Saos | Harga: 82500.0
- Iga Sapi Saos | Harga: 75000.0
- Iga Babi Bakar | Harga: 120000.0
- Kolobak | Harga: 62500.0
- Cintu Baikut | Harga: 75000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Ayam & bebek/Seafood.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Ayam & bebek/Seafood, ada rekomendasi bagus nih! Coba deh ke **Dailybox, Kutisari** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Sapi Asap Lada Garam | Harga: 55000.0
- Lidah Lada Garam | Harga: 55000.0
- Lidah Sambal Ijo | Harga: 55000.0
- Lemon Dori | Harga: 39500.0
- Lemon Chicken | Harga: 36500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Kopi/Roti.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Kopi/Roti, ada rekomendasi bagus nih! Coba deh ke **Dapoer Sedap Wangi** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Bihun Ayam Obat (Yok Cai Kee) ALA MAMI | Harga: 50000.0
- Soup Sengkel Sapi Ala MAMI | Harga: 68000.0
- Kari Sengkel Sapi Ala MAMI(no santan/pakai susu UHT) | Harga: 68000.0
- Kari Ayam Ala MAMI(no santan pakai susu UHT) | Harga: 45000.0
- Bubur Ayam Hyoko/Jamur Ala MAMI | Harga: 40000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti/Aneka nasi/Kopi.,"Halo! 🌟
Kalau kamu mau makan Roti/Aneka nasi/Kopi, ada rekomendasi bagus nih! Coba deh ke **Dapoer Sedap Wangi** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Bihun Ayam Obat (Yok Cai Kee) ALA MAMI | Harga: 50000.0
- Soup Sengkel Sapi Ala MAMI | Harga: 68000.0
- Kari Sengkel Sapi Ala MAMI(no santan/pakai susu UHT) | Harga: 68000.0
- Kari Ayam Ala MAMI(no santan pakai susu UHT) | Harga: 45000.0
- Bubur Ayam Hyoko/Jamur Ala MAMI | Harga: 40000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Bakmie/Chinese/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Bakmie/Chinese/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Dapur 99, Sedati** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Ayam 5 Rasa Pedas | Harga: 28000.0
- Ayam Kecap Pedas | Harga: 28000.0
- Ayam Saos Inggris | Harga: 30000.0
- Ayam Rica Rica | Harga: 28000.0
- Ayam Telur Asin | Harga: 30000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Ayam & bebek/Bakso & soto/Jajanan.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek/Bakso & soto/Jajanan, ada rekomendasi bagus nih! Coba deh ke **Dapur Aliqa, Gembong** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Bakso Iga Selimut | Harga: 40000.0
- Bakso Rujak | Harga: 29000.0
- Baso Iga Sapi | Harga: 33000.0
- Bakso Mercon Iga | Harga: 45000.0
- Seafood Pacaran | Harga: 95000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sweets.,"Halo! 🌟
Kalau kamu mau makan Sweets, ada rekomendasi bagus nih! Coba deh ke **Dapur Cokelat, Cibubur** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Opera | Harga: 100000.0
- Two Seasons | Harga: 100000.0
- Red Velvet | Harga: 100000.0
- Triple Decker | Harga: 100000.0
- Double Chocolate | Harga: 100000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sweets/Roti/Minuman.,"Halo! 🌟
Kalau kamu mau makan Sweets/Roti/Minuman, ada rekomendasi bagus nih! Coba deh ke **Dapur Cokelat, Ciputat** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Buku Dapur Cokelat Bercerita | Harga: 115000.0
- Opera | Harga: 100000.0
- Two Seasons | Harga: 100000.0
- Red Velvet | Harga: 100000.0
- Triple Decker | Harga: 100000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Sweets/Roti.,"Halo! 🌟
Kalau kamu mau makan Minuman/Sweets/Roti, ada rekomendasi bagus nih! Coba deh ke **Dapur Cokelat, Ciracas** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Buku Dapur Cokelat Bercerita | Harga: 115000.0
- Opera | Harga: 100000.0
- Two Seasons | Harga: 100000.0
- Triple Decker | Harga: 100000.0
- Double Chocolate | Harga: 100000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sweets.,"Halo! 🌟
Kalau kamu mau makan Sweets, ada rekomendasi bagus nih! Coba deh ke **Dapur Cokelat, Depok** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Opera | Harga: 100000.0
- Two Seasons | Harga: 100000.0
- Red Velvet | Harga: 100000.0
- Triple Decker | Harga: 100000.0
- Double Chocolate | Harga: 100000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Bakmie/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Bakmie/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Dapur Mama Ketrin** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Mie Ayam Pangsit Jakarta | Harga: 20000.0
- Bihun Goreng 512 | Harga: 20000.0
- Pangsit Goreng/Kuah | Harga: 18000.0
- Kwetiau Goreng | Harga: 25000.0
- Bakmie Goreng | Harga: 20000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Kopi/Minuman.,"Halo! 🌟
Kalau kamu mau makan Kopi/Minuman, ada rekomendasi bagus nih! Coba deh ke **Dapur Pancali** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Nasi Ayam Geprek (Tanpa Tulang) | Harga: 8000.0
- Nasi Telor Geprek (Pancal) | Harga: 8000.0
- Gorengan (Pancal) | Harga: 1000.0
- Kentang Goreng (Pancali) | Harga: 7000.0
- Tahu Kripsy (Pancal) | Harga: 7000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Korea/Cepat saji/Jajanan.,"Halo! 🌟
Kalau kamu mau makan Korea/Cepat saji/Jajanan, ada rekomendasi bagus nih! Coba deh ke **Dapurnyonyabinjai, Binjai Timur** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Sotang (Sosis + Kentang) | Harga: 13000.0
- Corndog Mozzarella | Harga: 15000.0
- Corndog Mozzarella Choco Crunchy | Harga: 18000.0
- Mozzarella Matcha Crunchy | Harga: 18000.0
- Corndog Mozzarella Tiramisu | Harga: 18000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Sweets.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Sweets, ada rekomendasi bagus nih! Coba deh ke **Dcrepes, Ruko Setia Budi** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Plastic Bag | Harga: 1000.0
- 1 Maret | Harga: 40000.0
- 2 Maret | Harga: 46500.0
- 3 Maret | Harga: 92000.0
- 4 Maret | Harga: 94000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Cepat saji/Minuman/Kopi.,"Halo! 🌟
Kalau kamu mau makan Cepat saji/Minuman/Kopi, ada rekomendasi bagus nih! Coba deh ke **DeFroggy** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Mocha | Harga: 31000.0
- Caramel Latte | Harga: 33500.0
- Hazelnut Latte | Harga: 33500.0
- Vanilla Latte | Harga: 33500.0
- Cafe Latte | Harga: 31000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Roti/Kopi.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Roti/Kopi, ada rekomendasi bagus nih! Coba deh ke **Dear Butter** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- 9 Pcs Croffle + Ice Pandan Latte | Harga: 131400.0
- 9 Pcs Croffle + Ice Americano | Harga: 122400.0
- 9 Pcs Croffle + Hot Americano | Harga: 118800.0
- 9 Pcs Croffle + Ice Db Latte | Harga: 127800.0
- 9 Pcs Croffle + Ice Almond Latte | Harga: 143100.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sweets/Cepat saji/Roti.,"Halo! 🌟
Kalau kamu mau makan Sweets/Cepat saji/Roti, ada rekomendasi bagus nih! Coba deh ke **Dear Butter, Pakubuwono** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- 3 Pcs Croffle Original | Harga: 35000.0
- 9 Pcs Croffle Original | Harga: 104000.0
- 9Pcs Croffle Choco | Harga: 109000.0
- 3Pcs Croffle Choco | Harga: 37000.0
- 9Pcs Mixed Flavoured Croffle | Harga: 109000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sweets.,"Halo! 🌟
Kalau kamu mau makan Sweets, ada rekomendasi bagus nih! Coba deh ke **Dear Butter, Sidoarjo** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- 9 Pcs Croffle | Harga: 104000.0
- 3 Pcs Croffle | Harga: 35000.0
- 9 Pcs Mixed Flavoured Croffle | Harga: 109000.0
- Almond Maple | Harga: 9000.0
- Strawberry Cream Cheese | Harga: 9000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Kopi/Minuman.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Kopi/Minuman, ada rekomendasi bagus nih! Coba deh ke **Depan Gang Coffee** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Es Kopi Depan Gang | Harga: 19000.0
- Es Kopi Coklat | Harga: 21000.0
- Dolce Coffee | Harga: 21000.0
- Es Coklat | Harga: 19000.0
- Mojito Virgin Lime | Harga: 19000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Chinese/Seafood.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Chinese/Seafood, ada rekomendasi bagus nih! Coba deh ke **Depot BERKAH JAYA** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Mie Goreng Ndoweerrr | Harga: 25000.0
- Nasi Goreng Ndoweerrr | Harga: 26000.0
- Nasi Goreng Ayam | Harga: 22000.0
- Nasi Goreng Jawa | Harga: 26000.0
- Nasi Goreng Spesial | Harga: 26000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Depot Bamara, Purwodadi** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Gurami Bakar + Sambal Pencit | Harga: 12000.0
- Nasi Putih | Harga: 3000.0
- Nasi Kuning | Harga: 4000.0
- Gurame Bakar | Harga: 14000.0
- Gurame Goreng | Harga: 14000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Chinese.,"Halo! 🌟
Kalau kamu mau makan Chinese, ada rekomendasi bagus nih! Coba deh ke **Depot Kartika, Ketajen** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Nasi Goreng Teri | Harga: 30000.0
- Nasi Goreng Telur Ceplok | Harga: 20500.0
- Nasi Goreng Special | Harga: 24000.0
- Nasi Goreng Sosis | Harga: 21500.0
- Nasi Goreng | Harga: 20500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Chinese/Seafood/Bakmie.,"Halo! 🌟
Kalau kamu mau makan Chinese/Seafood/Bakmie, ada rekomendasi bagus nih! Coba deh ke **Depot Manganokene, Pasar Buah 36** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Nasi Goreng Rempah | Harga: 20000.0
- Nasi Goreng Jawa | Harga: 17000.0
- Nasi Goreng Merah | Harga: 17000.0
- Nasi Goreng Sosis | Harga: 17000.0
- Nasi Goreng Ikan Asin | Harga: 17000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Depot Slamet, Dharmawangsa** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Telur Mata Sapi | Harga: 5000.0
- Udang Goreng Tepung | Harga: 42000.0
- Nasi Putih | Harga: 5000.0
- Cah Kangkung | Harga: 28000.0
- Koloke | Harga: 38000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Bakmie/Chinese.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Bakmie/Chinese, ada rekomendasi bagus nih! Coba deh ke **Depot Slamet, Kedungdoro** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Nasi Goreng Ayam | Harga: 52000.0
- Nasi Goreng Udang | Harga: 58000.0
- Nasi Goreng Kepiting | Harga: 58000.0
- Nasi Goreng Sosis | Harga: 56000.0
- Nasi Goreng Hongkong | Harga: 56000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sate.,"Halo! 🌟
Kalau kamu mau makan Sate, ada rekomendasi bagus nih! Coba deh ke **Depot Wijaya, Demak** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Sate Daging Kambing Polosan | Harga: 95000.0
- Sate Daging Kambing Campur | Harga: 85000.0
- Sate Daging Sapi | Harga: 85000.0
- Sate Ayam | Harga: 40000.0
- Gule Kambing | Harga: 55000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Jajanan/Roti.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Jajanan/Roti, ada rekomendasi bagus nih! Coba deh ke **Doe Sun Bakery** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Lidah Kucing Keju Besar | Harga: 100000.0
- Onbljtkoek Kenari | Harga: 6000.0
- Boy Cokelat | Harga: 10000.0
- Roti Coklat Keju | Harga: 10000.0
- Roti Nanas | Harga: 10000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Roti/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Roti/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Doe Sun Bakery** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Lidah Kucing Keju Besar | Harga: 100000.0
- Onbljtkoek Kenari | Harga: 6000.0
- Boy Cokelat | Harga: 10000.0
- Roti Coklat Keju | Harga: 10000.0
- Roti Nanas | Harga: 10000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti/Sweets/Jajanan.,"Halo! 🌟
Kalau kamu mau makan Roti/Sweets/Jajanan, ada rekomendasi bagus nih! Coba deh ke **Donuthing GKB, Manyar** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Cronuthffle | Harga: 11250.0
- New Choco Cashew On Top | Harga: 17000.0
- New Chocolate Hazelnut Crispy | Harga: 17000.0
- New Mozarella Crispy Donuth | Harga: 17000.0
- 4U Korean Milk And Donuthing | Harga: 62500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman.,"Halo! 🌟
Kalau kamu mau makan Minuman, ada rekomendasi bagus nih! Coba deh ke **Dooduck, Thamrin Plaza** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Orange Delight | Harga: 32000.0
- Mango Delight | Harga: 32000.0
- Strawberry Delight | Harga: 32000.0
- Apple Tea | Harga: 32000.0
- Jasmin Tea | Harga: 32000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sweets/Cepat saji/Roti.,"Halo! 🌟
Kalau kamu mau makan Sweets/Cepat saji/Roti, ada rekomendasi bagus nih! Coba deh ke **Dopota, Pucang** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Mini | Harga: 5000.0
- Isi 6 | Harga: 25000.0
- Isi 10 | Harga: 40000.0
- Reguler | Harga: 7000.0
- Paket Isi 6 | Harga: 35000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sweets/Roti.,"Halo! 🌟
Kalau kamu mau makan Sweets/Roti, ada rekomendasi bagus nih! Coba deh ke **Dough Lab, Senopati** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- The Og Box (20 Pcs) | Harga: 143000.0
- The Og Jar (23pcs) | Harga: 176000.0
- The Diva Box (10 Pcs) | Harga: 82500.0
- The Diva Box (20 Pcs) | Harga: 165000.0
- The Diva Jar (22 Pcs) | Harga: 198000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Kopi/Jajanan.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Kopi/Jajanan, ada rekomendasi bagus nih! Coba deh ke **Dprapatan** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Nasi Goreng Dprapatan | Harga: 23000.0
- Mie Goreng Dprapatan | Harga: 23000.0
- Nasi Ayam Geprek | Harga: 18000.0
- Indomie Goreng | Harga: 12000.0
- Indomie Kare | Harga: 12000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Minuman.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Minuman, ada rekomendasi bagus nih! Coba deh ke **Dunkin' Donuts, Ringroad** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Paket 6 Donut dan DD Card | Harga: 88000.0
- Paket 12 Donut Dan DD Card | Harga: 143000.0
- Donut paket 6 | Harga: 60500.0
- Donut fancy | Harga: 19800.0
- Croissant smoked beef | Harga: 46200.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Sweets/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Sweets/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **DuriAnd, Bogor** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Durian Kupas Medan 750-900 GR | Harga: 144000.0
- Durian Kupas Montong Sulawesi 450-500 GR | Harga: 144000.0
- Durian Kupas Montong Bali 450-500 GR | Harga: 132000.0
- Durian Kupas Musangking 400 GR | Harga: 540000.0
- Durian Kupas Lokal Jawa | Harga: 120000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan.,"Halo! 🌟
Kalau kamu mau makan Jajanan, ada rekomendasi bagus nih! Coba deh ke **Durian House, Sekip** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Bika Ambon Ori | Harga: 75000.0
- Bika Ambon Durian | Harga: 85000.0
- Bolu Gulung Durian 3 Rasa | Harga: 137500.0
- Bolu Gulung 3 In 1 Isi 3 Rolls | Harga: 106500.0
- Bolu Gulung Alpukat 3 in1 | Harga: 125000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Cepat saji/Jajanan/Roti.,"Halo! 🌟
Kalau kamu mau makan Cepat saji/Jajanan/Roti, ada rekomendasi bagus nih! Coba deh ke **Eat Toast Surabaya** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Choco Cheese | Harga: 18000.0
- Cheuna Toast | Harga: 28000.0
- Ti-Amo Toast | Harga: 18000.0
- Single Beef Toast | Harga: 25000.0
- Double Beef Toast | Harga: 28000.0

Nyam nyam! Pasti enak deh! 😋"
